stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
62:27633,62:27633,"SUS-SAINT-LEGER - Rue de la Poste - Abri","",50.239975,2.43383,,,0,STOPAREA:62:8708,,
62:27634,62:27634,"SUS-SAINT-LEGER - Rue de la Poste - F Abri","",50.239967,2.434112,,,0,STOPAREA:62:8708,,
62:27635,62:27635,"WARLUZEL - Rue de Sus-St-Léger - Abri","",50.224726,2.466826,,,0,STOPAREA:62:9390,,
62:27636,62:27636,"WARLUZEL - Rue de Sus-Saint-Léger - N°5","",50.22474,2.466666,,,0,STOPAREA:62:9390,,
62:27637,62:27637,"WARLUZEL - Place de la Mairie - Abri","",50.228847,2.469845,,,0,STOPAREA:62:8981,,
62:27638,62:27638,"WARLUZEL - Place de la Mairie - N°37","",50.228851,2.469797,,,0,STOPAREA:62:8981,,
62:27639,62:27639,"SOMBRIN - Mairie - F N°6 - Abri","",50.240219,2.499205,,,0,STOPAREA:62:8687,,
62:27640,62:27640,"SOMBRIN - Mairie - Ecole - N°8","",50.240019,2.498707,,,0,STOPAREA:62:8687,,
62:27641,62:27641,"GRAND-RULLECOURT - Rue du Bois - F N°2 - Abri","",50.253301,2.480455,,,0,STOPAREA:62:7065,,
62:27642,62:27642,"GRAND-RULLECOURT - Rue du Bois - N°2","",50.253309,2.48028,,,0,STOPAREA:62:7065,,
62:27643,62:27643,"AVESNES-LE-COMTE - Mairie - R de Barly - Abri","",50.276125,2.527404,,,0,STOPAREA:62:5837,,
62:27644,62:27644,"AVESNES-LE-COMTE - Mairie - R de Barly - F Abri","",50.27613,2.527327,,,0,STOPAREA:62:5837,,
62:27645,62:27645,"BARLY - Mairie - Ecole","",50.251292,2.547753,,,0,STOPAREA:62:5901,,
62:27646,62:27646,"BARLY - Mairie - Ecole - Poteau","",50.251175,2.547712,,,0,STOPAREA:62:5901,,
62:27647,62:27647,"FOSSEUX - Salle des Fêtes - Poteau","",50.255607,2.564452,,,0,STOPAREA:62:6954,,
62:27648,62:27648,"FOSSEUX - Salle des Fêtes - N°5","",50.255707,2.564494,,,0,STOPAREA:62:6954,,
62:27649,62:27649,"HAUTEVILLE - Eglise - Ecole - N°3","",50.272955,2.573425,,,0,STOPAREA:62:7146,,
62:27650,62:27650,"HAUTEVILLE - Eglise - Ecole - Abri","",50.273075,2.573493,,,0,STOPAREA:62:7146,,
62:27651,62:27651,"WANQUETIN - Village - N°10 B - Abri","",50.277239,2.614908,,,0,STOPAREA:62:8965,,
62:27652,62:27652,"WANQUETIN - Village - N°21","",50.277305,2.615038,,,0,STOPAREA:62:8965,,
62:27653,62:27653,"WANQUETIN - Résidence Rue d'Arras - N°30","",50.278745,2.623538,,,0,STOPAREA:62:8964,,
62:27654,62:27654,"WANQUETIN - Résidence Rue d'Arras - Abri","",50.278813,2.623597,,,0,STOPAREA:62:8964,,
62:27655,62:27655,"MONTENESCOURT - Mont de Wanquentin - Rd59","",50.281556,2.639901,,,0,STOPAREA:62:7800,,
62:27656,62:27656,"HAUTEVILLE - Mairie - Abri","",50.273606,2.573262,,,0,STOPAREA:62:7147,,
62:27657,62:27657,"HAUTEVILLE - Mairie - N°4","",50.273648,2.573261,,,0,STOPAREA:62:7147,,
62:27658,62:27658,"VIEILLE-EGLISE - Rue de Bourbourg - N°15","",50.925801,2.054906,,,0,STOPAREA:62:8888,,
62:27662,62:27662,"AGNEZ-LES-DUISANS - La Ressée - R Henri Bécourt","",50.315252,2.658605,,,0,STOPAREA:62:5515,,
62:27664,62:27664,"ANZIN-SAINT-AUBIN - Collège les Louez-Dieu","",50.313577,2.754868,,,0,STOPAREA:62:9291,,
62:27665,62:27665,"MONTENESCOURT - Rue de Gouves - Côté Habitations","",50.292075,2.627907,,,0,STOPAREA:62:7801,,
62:27674,62:27674,"HERMAVILLE - Rue d'Izel - N°31","",50.319885,2.578726,,,0,STOPAREA:62:7213,,
62:27696,62:27696,"PUISIEUX - Rue du 8 Mai - Abri","",50.116634,2.69246,,,0,STOPAREA:62:8116,,
62:27698,62:27698,"HEBUTERNE - Mairie - Ecole - F Abri","",50.125331,2.636599,,,0,STOPAREA:62:7154,,
62:27699,62:27699,"HEBUTERNE - Mairie - Ecole - Abri","",50.125277,2.63655,,,0,STOPAREA:62:7154,,
62:27703,62:27703,"GOMMECOURT - Mairie - Ecole - Abri","",50.140281,2.643949,,,0,STOPAREA:62:7032,,
62:27704,62:27704,"FONCQUEVILLERS - Monument - Abri","",50.147968,2.631783,,,0,STOPAREA:62:6944,,
62:27705,62:27705,"FONCQUEVILLERS - Monument","",50.148039,2.631731,,,0,STOPAREA:62:6944,,
62:27707,62:27707,"FONCQUEVILLERS - Gendarmerie - N°52","",50.154575,2.631824,,,0,STOPAREA:62:6942,,
62:27708,62:27708,"FONCQUEVILLERS - Gendarmerie - N°57","",50.154582,2.631754,,,0,STOPAREA:62:6942,,
62:27711,62:27711,"BIENVILLERS-AU-BOIS - Mairie - Abri","",50.174935,2.620364,,,0,STOPAREA:62:6076,,
62:27714,62:27714,"MONCHY-AU-BOIS - Rue d'Arras - Abri","",50.181507,2.657258,,,0,STOPAREA:62:7767,,
62:27715,62:27715,"MONCHY-AU-BOIS - Rue d'Arras","",50.181531,2.657183,,,0,STOPAREA:62:7767,,
62:27717,62:27717,"ADINFER - Monument - N°2bis","",50.194861,2.708938,,,0,STOPAREA:62:5510,,
62:27718,62:27718,"ADINFER - Monument - F N°1 - Abri","",50.194927,2.709101,,,0,STOPAREA:62:5510,,
62:27719,62:27719,"ADINFER - Monument - N°1","",50.194979,2.709145,,,0,STOPAREA:62:5510,,
62:27724,62:27724,"RANSART - Rue de Monchy - Abri","",50.20696,2.689467,,,0,STOPAREA:62:8187,,
62:27725,62:27725,"RANSART - Rue de Monchy - F Abri","",50.207021,2.689456,,,0,STOPAREA:62:8187,,
62:27728,62:27728,"RIVIERE - Le Blanc Mont - Côté Maison","",50.232568,2.706132,,,0,STOPAREA:62:8287,,
62:27729,62:27729,"RIVIERE - Le Blanc Mont - Face Maison","",50.232524,2.706058,,,0,STOPAREA:62:8287,,
