stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
02:01108,02:01108,"LA FERTE C. - CHEVRESIS LES D.","",49.72361,3.53929,,,0,,,
02:01110,02:01110,"SEPTVAUX - MAIRIE","",49.5695,3.37792,,,0,,,
02:01118,02:01118,"VAUDESSON - VAURAINS ABRI","",49.456,3.48444,,,0,,,
02:01121,02:01121,"BOUE - RUE DE LA NATION","",50.00658,3.69321,,,0,,,
02:01123,02:01123,"AISONVILLE ET B - BERNOVILLE ABRI","",49.93072,3.51364,,,0,,,
02:01126,02:01126,"MONTLEVON - AUCLAINE","",48.96745,3.51905,,,0,,,
02:01130,02:01130,"CHIGNY - HAUT ABRI","",49.91774,3.76891,,,0,,,
02:01131,02:01131,"CHIGNY - BAS ABRI","",49.91359,3.77532,,,0,,,
02:01132,02:01132,"MARLY GOMONT - ABRI PLACE GOMONT","",49.89919,3.77469,,,0,,,
02:01136,02:01136,"WIEGE FATY - FATY ABRI","",49.89322,3.71214,,,0,,,
02:01142,02:01142,"CHERMIZY A. - ABRI MAIRIE","",49.46959,3.72582,,,0,,,
02:01147,02:01147,"MONTCHALONS - BOIS DE LA TOMBE","",49.50508,3.72044,,,0,,,
02:01153,02:01153,"EPIEDS - COURPOIL","",49.11629,3.4609,,,0,,,
02:01154,02:01154,"FERE EN T. - VILLEMOYENNE","",49.17689,3.5026,,,0,,,
02:01163,02:01163,"PONTAVERT - ABRI","",49.40742,3.8191,,,0,,,
02:01177,02:01177,"CIRY SALSOGNE - DOM. DES ETANGS","",49.37929,3.47418,,,0,,,
02:01180,02:01180,"BELLEU - COLLEGE","",49.36291,3.33719,,,0,,,
02:01183,02:01183,"ANY MARTIN R. - LA FOLIE ABRI","",49.90414,4.22254,,,0,,,
02:01191,02:01191,"LA SELVE - PLACE ABRI","",49.56991,3.99611,,,0,,,
02:01198,02:01198,"COUCY LES E. - CENTRE","",49.55259,3.7689,,,0,,,
02:01202,02:01202,"ESSOMES S/ M. - PLACE FERREOL","",49.02986,3.37509,,,0,,,
02:01213,02:01213,"VILLIERS ST D. - PL DU 11 NOVEMBR","",48.99469,3.26695,,,0,,,
02:01215,02:01215,"COUPRU - ARRET MAIRIE ABRI","",49.03171,3.27199,,,0,,,
02:01218,02:01218,"VEUILLY LA P. - ELOUP","",49.09021,3.2284,,,0,,,
02:01219,02:01219,"ESSOMES S/ M. - BASCON","",49.05005,3.34432,,,0,,,
02:01221,02:01221,"ESSOMES S/ M. - MONNEAUX ECOLE","",49.03904,3.35065,,,0,,,
02:01225,02:01225,"CHATEAU T. - LA FONTAINE","",49.04422,3.40139,,,0,,,
02:01237,02:01237,"BOHAIN EN V. - SAINTE SOPHIE","",49.9827,3.45684,,,0,,,
02:01240,02:01240,"PONT ARCY - ABRI","",49.39379,3.62952,,,0,,,
02:01241,02:01241,"MONTLEVON - LE HAUT CHAMBLON","",48.96964,3.49544,,,0,,,
02:01242,02:01242,"MONTLEVON - EGLISE ABRI","",48.96586,3.53996,,,0,,,
02:01243,02:01243,"MONTLEVON - MONTHARMEAUX","",48.9797,3.52812,,,0,,,
02:01244,02:01244,"COURBOIN - MONTBAZIN","",48.98378,3.51817,,,0,,,
02:01245,02:01245,"COURBOIN - HAB. PETITE CHAP","",48.99955,3.51456,,,0,,,
02:01246,02:01246,"COURBOIN - HAUT FORET","",48.99912,3.52185,,,0,,,
02:01247,02:01247,"COURBOIN - FERME CONFREMEAU","",48.99768,3.53533,,,0,,,
02:01248,02:01248,"MONTLEVON - LES ORGERIEUX","",48.95609,3.50006,,,0,,,
02:01254,02:01254,"PARGNY LA D. - ABRI","",48.95232,3.55222,,,0,,,
02:01255,02:01255,"MONTLEVON - PICHENY","",48.97186,3.54281,,,0,,,
02:01256,02:01256,"MONTLEVON - COUPIGNY","",48.98332,3.54674,,,0,,,
02:01257,02:01257,"MONT ST P. - MAIRIE ECOLE","",49.0751,3.49166,,,0,,,
02:01258,02:01258,"MONTHUREL - PLACE","",49.02239,3.54651,,,0,,,
02:01259,02:01259,"CELLES LES C. - ABRI","",49.01171,3.57102,,,0,,,
